legacy_id,full_name,email,dob,sex,bsn,phone,city,weight,weight_unit,height_cm,status,signup_date,source
recwyXYjpXsigPX8J,Zeynep Chen,zeynep.chen@live.nl,23-08-2000,female,251508596,06-53549409,Delft,134.0,kg,194,Active,2023-03-21,import
recvY0SCmHn72bKUF,Ruben van den Berg,ruben.vandenberg@yahoo.com,03/04/1972,f,,+31608913757,Delft,94.1,kg,167,Active,2023-12-13,typeform
recllxasisP4l5btZ,Olga Brouwer,olga.brouwer@yahoo.com,1989-05-28,M,663119637,+31664058517,Haarlem,113.1,kg,167,active ,2025-09-30,import
rec4WH3Y8eVFSjYos,Zeynep de Wit,zeynep.dewit@gmail.com,1983-12-22,male,,+31635672057,Zwolle,90.2,kg,174,actief,2024-11-09,typeform
recohisP3yMTXqTGE,Noor El Amrani,noor.elamrani@gmail.com,02/16/1962,Female,522566248,+31668303946,Rotterdam,119.6,kg,169,ACTIEF,2022-07-05,campaign_expat_2023
recCqSY0YQ0ZRMPhX,Mei Taylor,mei.taylor@protonmail.com,06/01/1981,vrouw,,06-92461015,Tilburg,76.2,kg,165,opgezegd,09-08-2023,website
reczPnfGfjA1IEi8o,Deniz Peters,deniz.peters@live.nl,1963-03-25,f,471571362,0669708184,Delft,168.2,,171,Active,04-04-2024,campaign_expat_2023
reclljTEnT2YAiTKf,Grace Benali,grace.benali@live.nl,29-10-1992,F,,06-32966540,Amsterdam,189.8,lbs,163,active,07/10/2022,typeform
recs7aA2HuPCyZpGY,Elena Andersen,elena.andersen@hotmail.com,1965-06-27,M,,+31620341788,Almere,102.4,kg,183,Churned,2025-01-18,import
recnGucmq0G8aUlli,Teun de Jong,teun.dejong@live.nl,2007-06-11,male,679609908,0660542400,Tilburg,148.6,kg,193,active ,10-05-2024,campaign_expat_2023
recm5ZliILdrdpYPq,Kees de Jong,kees.dejong@icloud.com,01/05/1992,m,,0606376713,Breda,95.6,kg,164,churned,2023-07-09,referral
rec2NG82oQ23Npv6t,Noor Mulder,noor.mulder@ziggo.nl,1967-02-25,Male,,06-50377208,Maastricht,84.0,kg,153,ACTIEF,2025-11-01,import
recMYZgSQBwPqYLhu,Annelies de Groot,annelies.degroot@live.nl,06/01/1971,female,512155495,0673845983,Amersfoort,87.3,kg,177,lead,2022-03-22,import
recSF3KSvHFgPGZT2,Julia Rossi,julia.rossi@protonmail.com,1998-10-09,man,,+31695637750,Amersfoort,121.5,kg,194,prospect,2025-03-12,typeform
rec1HqO3tet4KbTsS,Gijs Jones,gijs.jones@yahoo.com,07-08-1968,man,,+31666530017,Arnhem,117.4,kg,182,active ,2024-05-14,typeform
recKezPoIEhsomAph,Giulia de Jong,giulia.dejong@ziggo.nl,08/19/1994,female,854615982,06-26175670,Zwolle,120.3,kg,190,Active,09/01/2022,typeform
recpZZTAveLlWG3e9,Fatima Bakker,fatima.bakker@ziggo.nl,1990-08-29,f,,+31629200739,Delft,86.4,kg,162,active,2025-06-26,referral
rectjTfEf1fRbCqog,Roos Kaya,roos.kaya1@hotmail.com,1974-08-11,m,857302553,+31601638511,Zwolle,120.0,kg,169,active,2022-05-18,website
recRDS3iH67AQqDqf,Teun de Boer,teun.deboer@hotmail.com,1991-10-11,m,,06-14761158,Delft,96.6,kg,160,churned,2024-11-10,website
recZuFBNP6pxzabX9,Piotr de Groot,piotr.degroot@icloud.com,1972-01-04,Male,,06-72365420,Rotterdam,103.0,kg,158,ACTIEF,2024-12-31,website
rec2ozFOFVAN6dJXz,Priya Rossi,priya.rossi@live.nl,2000-12-18,Female,,,Eindhoven,,kg,197,lead,2023-05-17,typeform
recbHAdH1mChTT20W,Sophie Ivanov,sophie.ivanov@protonmail.com,28-11-2003,M,,+31600200993,Maastricht,107.1,kg,184,on hold,22-04-2022,typeform
recCzVTkE7j12KuLK,Amira Dijkstra,amira.dijkstra@protonmail.com,11/15/1979,m,,+31691466915,Rotterdam,,kg,171,Churned,2023-08-21,website
rectrH23Oeqq3WknP,Youssef van der Meer,youssef.vandermeer@yahoo.com,06/03/2002,Female,921635680,0699798829,Zwolle,129.6,kg,192,ACTIEF,16-03-2024,import
recTnoZK2UxB3urMb,Gijs El Amrani,gijs.elamrani@icloud.com,2003-09-30,Female,,+31679285932,Haarlem,,kg,174,Active,2025-03-21,typeform
recVCeLNqjh0TsoUr,Eva Wang,eva.wang@outlook.com,1981-04-25,M,,+31699022630,Zwolle,118.6,kg,168,churned,2025-01-13,typeform
rec2CrGqbJCGF8gOe,Hendrik Costa,hendrik.costa@outlook.com,17-03-1964,vrouw,,0646010125,Almere,102.3,kg,157,Prospect,11-01-2024,typeform
recYMxFOeuIpvRPjw,Maud Bakker,maud.bakker@kpnmail.nl,1968-10-08,V,,0697978008,Eindhoven,,kg,179,actief,2023-06-21,typeform
recg0Aei5OmpctyFR,Mohammed Nowak,mohammed.nowak@protonmail.com,1975-01-03,man,,+31608856835,Eindhoven,108.1,kg,167,active ,2022-06-25,import
rechpDIr7vIY2mRbV,Ruben Petrov,ruben.petrov@yahoo.com,1987-07-25,m,121806704,06-16907013,Breda,86.6,kg,155,active ,2026-01-22,website
recjC07CrjDYRKkMH,Lotte de Boer,lotte.deboer@yahoo.com,2007-06-13,Male,955251862,06-22181815,Tilburg,110.6,kg,186,active ,2026-04-09,import
recT10AtwdfisJdy9,Elena Mulder,elena.mulder@kpnmail.nl,1960-02-04,male,,06-82492344,Leiden,109.3,kg,191,paused,2024-04-01,typeform
recozt8BBlpY0vJbK,Fatima Jones,fatima.jones@icloud.com,1964-01-06,V,,+31604050832,Rotterdam,,kg,198,cancelled,11/02/2023,typeform
recYesRO2h8K3FkpO,Emma Vos,emma.vos@yahoo.com,1984-12-08,male,,+31602936202,Maastricht,101.9,kg,155,ACTIEF,29-09-2022,typeform
rec5QymxkGDni6y29,Roos Peters,roos.peters@icloud.com,1966-06-28,M,,+31612665735,Leiden,100.0,kg,154,opgezegd,2026-02-19,campaign_expat_2023
rec15jchRK6a2HRru,Olga Wang,olga.wang@protonmail.com,03/01/1988,female,,06-67795471,Delft,89.0,kg,160,Active,2024-04-17,import
recHp5693MtNqzHuc,Jesse de Graaf,jesse.degraaf@yahoo.com,2005-08-01,male,,+31646620645,Haarlem,130.6,kg,194,active ,2024-10-28,typeform
recc023w4Pfk1vfZJ,Olga Ricci,olga.ricci1@protonmail.com,1982-01-29,vrouw,974631115,+31695608637,Haarlem,74.9,kg,166,active,04/21/2023,campaign_expat_2023
recTDZLy8qXyhsO2S,Sem Taylor,sem.taylor@yahoo.com,2006-04-27,Female,,06-88422277,Leiden,101.8,kg,168,active,03/17/2024,referral
recXjcOyG0dMB4DOq,Sanne Wang,sanne.wang@protonmail.com,22-03-1984,male,,06-40536304,Leiden,97.6,kg,168,on hold,2023-10-17,referral
recIaTJSF7eflcHxW,Hendrik Vos,hendrik.vos1@ziggo.nl,1973-06-21,f,,06-07182374,Amersfoort,,kg,177,Active,2024-10-24,typeform
recvFCGRtFEjQkMks,Hendrik Horvat,hendrik.horvat@ziggo.nl,1983-09-21,male,,+31623335433,Zwolle,112.3,kg,180,opgezegd,2025-03-11,import
recVBmGrJhWgHo3Ow,Grace Peters,grace.peters@icloud.com,2007-11-26,female,,0636550361,Delft,93.2,kg,171,churned,2024-11-28,campaign_expat_2023
rec3W7zRBJ3yctYoV,Teun Smits, teun.smits@gmail.com,30-10-1982,V,694545508,06-33427353,Delft,114.7,kg,177,opgezegd,09-12-2022,import
recSoTHiwwMrx8wa1,Marieke Benali,marieke.benali@icloud.com,2000-04-11,Female,,+31624718297,Rotterdam,70.5,kg,160,on hold,2026-03-30,import
recHslkIbnQFvqRPm,Piotr Smits,piotr.smits@ziggo.nl,1961-12-10,female,,+31678425186,Nijmegen,97.1,kg,161,active ,2025-04-30,referral
recSf8MQYr00e3LQX,Lotte de Jong,lotte.dejong@icloud.com,1985-05-02,female,,06-03423012,Delft,106.0,kg,160,active ,2026-04-25,import
recsjEZzW49ELLxAW,Piotr Rossi,piotr.rossi@gmail.com,1977-07-05,man,,+31684597878,Tilburg,113.3,kg,180,Active,2026-02-04,typeform
recTubToSsdnSwnXB,Priya Bos,priya.bos@kpnmail.nl,1979-01-21,Female,,06-77755374,Breda,68.6,kg,159,Active,2026-04-25,typeform
recPOEkcgNYMFgt09,Sophie Jones,sophie.jones@protonmail.com,02/17/1991,male,226308881,0630346058,Breda,147.7,kg,192,active,07/19/2023,typeform
recDjoMfHcpu2BxJl,Annelies Benali ,annelies.benali@gmail.com,1979-04-13,F,682269840,06-51173900,Tilburg,124.8,kg,15,actief,2026-04-04,import
recmY8ZV2XimWCxrD,Piotr Visser,piotr.visser@gmail.com,1987-01-09,male,766515795,0614654356,Delft,159.9,kg,196,Churned,2024-04-09,import
